GO	[-4.84 -0.52]	[-0.52 -0.29]	[-0.29 -0.16]	[-0.16 -0.06]	[-0.06 0.00]	[0.00 0.04]	[0.04 0.15]	[0.15 0.31]	[0.31 0.57]	[0.57 1.14]	[1.14 7.51]
MODULE_92 MODULE_92	0.709	-0.927	-3.383	-4.113	1.086	3.432	-4.113	-3.383	-1.181	4.214	4.688
MODULE_324 MODULE_324	0.822	0.491	-1.830	-2.849	-0.659	0.255	-2.291	-1.830	-0.353	3.872	4.789
MODULE_180 MODULE_180	1.423	-1.440	-1.854	-2.364	-0.445	-0.616	-1.440	-0.616	-0.312	2.694	5.857
MODULE_122 MODULE_122	2.082	0.282	-0.788	-2.532	-1.643	0.523	-0.597	-2.532	-1.022	3.840	2.428
MODULE_345 MODULE_345	0.320	-0.401	-0.554	-2.084	-0.283	0.970	-4.120	-1.284	-0.401	2.687	3.898
MODULE_436 MODULE_436	-0.293	-0.739	-0.739	-2.441	0.309	0.729	-3.712	-0.739	0.309	3.602	3.261
MODULE_223 MODULE_223	-0.331	-2.076	-3.147	-0.331	-0.455	0.661	-1.041	-1.041	0.661	4.619	2.079
MODULE_292 MODULE_292	0.329	-0.386	-0.927	-2.381	-0.386	1.174	-2.381	-1.911	0.451	2.597	3.360
MODULE_433 MODULE_433	0.315	-0.740	-2.536	-0.740	0.315	1.327	-1.125	-0.740	-0.740	0.728	4.750
MODULE_80 MODULE_80	1.185	-1.328	-1.328	-1.328	-0.363	0.246	0.246	-1.328	0.794	0.479	2.796
MODULE_201 MODULE_201	1.097	-0.493	-1.297	-2.077	0.317	0.782	-0.811	-1.297	-0.493	0.782	3.437
MODULE_200 MODULE_200	0.644	-1.120	-1.120	-1.120	-0.551	-0.260	-0.260	-1.120	1.032	0.644	3.395
MODULE_329 MODULE_329	1.057	-0.839	-0.514	-2.119	0.498	0.751	-2.119	0.301	-0.514	0.301	2.800
MODULE_170 MODULE_170	0.371	0.524	-0.523	-1.807	-1.011	-1.361	-0.736	-0.736	0.524	1.443	4.190
MODULE_387 MODULE_387	0.545	-0.784	-0.472	-2.036	0.545	0.814	-2.036	0.333	-0.472	0.333	2.963
MODULE_259 MODULE_259	-0.704	-0.412	-0.412	-0.412	-1.160	-0.704	-0.228	-0.704	-0.228	0.389	6.673
MODULE_416 MODULE_416	-0.954	0.199	-0.954	-0.434	0.457	1.837	-0.954	0.457	-0.954	-0.434	2.491
MODULE_375 MODULE_375	1.203	-0.795	-0.795	-0.795	-0.557	2.176	-1.106	-2.040	0.362	0.362	2.203
MODULE_128 MODULE_128	0.411	0.411	-0.477	-1.717	-0.944	-1.283	-0.680	-0.680	0.576	1.259	3.921
MODULE_79 MODULE_79	0.384	0.384	-0.508	-1.777	-0.988	-1.335	-0.717	-0.508	0.729	1.198	3.788
MODULE_199 MODULE_199	-1.009	-0.400	-0.400	-0.400	-1.009	-0.647	-0.235	-0.647	-0.400	1.152	5.185
MODULE_146 MODULE_146	-0.386	-0.386	-1.056	-1.414	-0.386	2.725	-0.774	-1.056	-0.386	1.111	2.023
